Strategy,Total Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Total Trades,Avg Trade,Profit Factor
MLMeanReversionStrategy,0.06,4.74,2051.65,0.0,100.0,2,29.59,inf
AdaptiveTrendStrategy,0.02,1.16,0.97,0.02,75.0,4,4.61,0.61
