Strategy,Total Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Total Trades,Avg Trade,Profit Factor
MLMeanReversionStrategy,0,0,0,0,0,0,0,inf
AdaptiveTrendStrategy,0,0,0,0,0,0,0,inf
